current_state,region,division,year,population,same_house,same_state,from_different_state_Total,abroad_Total,from,from_region,from_division,number_of_people
Wisconsin,Midwest,East North Central,2013,5681024,4872672,688588,100846,18918,Alabama,South,East South Central,294
Wyoming,West,Mountain,2013,575933,469511,76905,27584,1933,Alabama,South,East South Central,40
Puerto Rico,Puerto Rico,Puerto Rico,2013,3579220,3329074,221047,24652,4447,Alabama,South,East South Central,293
Alabama,South,East South Central,2014,4791931,4081522,589211,107919,13279,Alabama,South,East South Central,0
Alaska,West,Pacific,2014,725206,585916,97358,37842,4090,Alabama,South,East South Central,603
Arizona,West,Mountain,2014,6651964,5431241,922129,249730,48864,Alabama,South,East South Central,785
Arkansas,South,West South Central,2014,2931123,2464189,383087,74741,9106,Alabama,South,East South Central,2145
California,West,Pacific,2014,38340324,32849251,4659084,513968,318021,Alabama,South,East South Central,10439
Colorado,West,Mountain,2014,5293943,4263998,777699,218728,33518,Alabama,South,East South Central,1004
Connecticut,Northeast,New England,2014,3558915,3111779,334207,82746,30183,Alabama,South,East South Central,275
Delaware,South,South Atlantic,2014,924770,810905,77246,32166,4453,Alabama,South,East South Central,46
District of Columbia,South,South Atlantic,2014,648586,513634,67286,56234,11432,Alabama,South,East South Central,251
Florida,South,South Atlantic,2014,19683763,16504838,2436619,546501,195805,Alabama,South,East South Central,15731
Georgia,South,South Atlantic,2014,9970167,8406436,1238139,274095,51497,Alabama,South,East South Central,18778
Hawaii,West,Pacific,2014,1401004,1198766,131974,58144,12120,Alabama,South,East South Central,510
Idaho,West,Mountain,2014,1613068,1335689,207055,64633,5691,Alabama,South,East South Central,166
Illinois,Midwest,East North Central,2014,12730206,11021611,1430902,209536,68157,Alabama,South,East South Central,1566
Indiana,Midwest,East North Central,2014,6516181,5540754,810518,139846,25063,Alabama,South,East South Central,1229
Iowa,Midwest,West North Central,2014,3067872,2594781,379518,79194,14379,Alabama,South,East South Central,641
Kansas,Midwest,West North Central,2014,2866584,2378716,376239,96467,15162,Alabama,South,East South Central,830
Kentucky,South,East South Central,2014,4357819,3663490,575429,104975,13925,Alabama,South,East South Central,1409
Louisiana,South,West South Central,2014,4593505,3970442,511702,97814,13547,Alabama,South,East South Central,4808
Maine,Northeast,New England,2014,1317638,1138397,134611,39065,5565,Alabama,South,East South Central,0
Maryland,South,South Atlantic,2014,5911235,5091903,615601,156787,46944,Alabama,South,East South Central,770
Massachusetts,Northeast,New England,2014,6674907,5784744,672510,146622,71031,Alabama,South,East South Central,519
Michigan,Midwest,East North Central,2014,9795659,8336037,1261495,149991,48136,Alabama,South,East South Central,2362
Minnesota,Midwest,West North Central,2014,5385219,4612655,635880,106783,29901,Alabama,South,East South Central,392
Mississippi,South,East South Central,2014,2957658,2554296,321236,73927,8199,Alabama,South,East South Central,6816
Missouri,Midwest,West North Central,2014,5992195,5042396,776519,153320,19960,Alabama,South,East South Central,2807
Montana,West,Mountain,2014,1012169,845142,126508,37561,2958,Alabama,South,East South Central,134
Nebraska,Midwest,West North Central,2014,1855356,1541744,252232,52200,9180,Alabama,South,East South Central,510
Nevada,West,Mountain,2014,2806170,2235861,426512,130390,13407,Alabama,South,East South Central,475
New Hampshire,Northeast,New England,2014,1314735,1134514,133298,41393,5530,Alabama,South,East South Central,44
New Jersey,Northeast,Middle Atlantic,2014,8840346,7961796,686056,128911,63583,Alabama,South,East South Central,216
New Mexico,West,Mountain,2014,2060189,1770053,212456,68917,8763,Alabama,South,East South Central,41
New York,Northeast,Middle Atlantic,2014,19528220,17418181,1693064,258571,158404,Alabama,South,East South Central,1662
North Carolina,South,South Atlantic,2014,9832152,8332705,1166928,286533,45986,Alabama,South,East South Central,4264
North Dakota,Midwest,West North Central,2014,729874,602508,85084,39059,3223,Alabama,South,East South Central,402
Ohio,Midwest,East North Central,2014,11464891,9742065,1484132,196742,41952,Alabama,South,East South Central,1189
Oklahoma,South,West South Central,2014,3827288,3148699,550149,111346,17094,Alabama,South,East South Central,993
Oregon,West,Pacific,2014,3927857,3196441,571056,137008,23352,Alabama,South,East South Central,156
Pennsylvania,Northeast,Middle Atlantic,2014,12645888,11103966,1241534,232889,67499,Alabama,South,East South Central,1535
Rhode Island,Northeast,New England,2014,1045791,906936,98869,32621,7365,Alabama,South,East South Central,347
South Carolina,South,South Atlantic,2014,4780659,4046123,542930,171969,19637,Alabama,South,East South Central,3219
South Dakota,Midwest,West North Central,2014,842076,701352,109496,28198,3030,Alabama,South,East South Central,0
Tennessee,South,East South Central,2014,6471445,5465071,796577,182130,27667,Alabama,South,East South Central,9640
Texas,South,West South Central,2014,26588600,22151594,3681042,538572,217392,Alabama,South,East South Central,6437
Utah,West,Mountain,2014,2894001,2407608,374578,90234,21581,Alabama,South,East South Central,365
Vermont,Northeast,New England,2014,620898,536915,59850,22635,1498,Alabama,South,East South Central,0
Virginia,South,South Atlantic,2014,8224054,6891144,995822,262477,74611,Alabama,South,East South Central,2654
Washington,West,Pacific,2014,6979369,5757065,934922,220259,67123,Alabama,South,East South Central,1640
West Virginia,South,South Atlantic,2014,1831414,1617510,162340,47957,3607,Alabama,South,East South Central,144
Wisconsin,Midwest,East North Central,2014,5692727,4868506,688104,117831,18286,Alabama,South,East South Central,452
Wyoming,West,Mountain,2014,577782,475740,74601,25992,1449,Alabama,South,East South Central,254
Puerto Rico,Puerto Rico,Puerto Rico,2014,3511186,3251389,237197,19771,2829,Alabama,South,East South Central,50
Alabama,South,East South Central,2015,4801599,4113945,561019,114876,11759,Alabama,South,East South Central,0
Alaska,West,Pacific,2015,727862,582909,105769,34696,4488,Alabama,South,East South Central,279
Arizona,West,Mountain,2015,6747595,5536087,910911,253281,47316,Alabama,South,East South Central,607
Arkansas,South,West South Central,2015,2938341,2440359,407352,81594,9036,Alabama,South,East South Central,956
California,West,Pacific,2015,38675135,33446324,4377667,514477,336667,Alabama,South,East South Central,5273
Colorado,West,Mountain,2015,5393067,4404058,728077,227445,33487,Alabama,South,East South Central,2392
Connecticut,Northeast,New England,2015,3554844,3109580,340126,76997,28141,Alabama,South,East South Central,163
Delaware,South,South Atlantic,2015,935813,800701,86009,44495,4608,Alabama,South,East South Central,76
District of Columbia,South,South Atlantic,2015,663006,525024,67188,59905,10889,Alabama,South,East South Central,359
Florida,South,South Atlantic,2015,20068392,16832374,2438828,584938,212252,Alabama,South,East South Central,15449
Georgia,South,South Atlantic,2015,10088525,8489689,1259007,283325,56504,Alabama,South,East South Central,16372
Hawaii,West,Pacific,2015,1414355,1206066,136796,53742,17751,Alabama,South,East South Central,240
Idaho,West,Mountain,2015,1635366,1333758,218791,73809,9008,Alabama,South,East South Central,564
Illinois,Midwest,East North Central,2015,12706393,11029917,1399829,209828,66819,Alabama,South,East South Central,1853
Indiana,Midwest,East North Central,2015,6540691,5527512,843210,147529,22440,Alabama,South,East South Central,2130
Iowa,Midwest,West North Central,2015,3081446,2598298,386465,85937,10746,Alabama,South,East South Central,285
Kansas,Midwest,West North Central,2015,2875640,2405677,360715,91340,17908,Alabama,South,East South Central,717
Kentucky,South,East South Central,2015,4373403,3706705,543811,106918,15969,Alabama,South,East South Central,1463
Louisiana,South,West South Central,2015,4612024,4007364,496223,93321,15116,Alabama,South,East South Central,3318
Maine,Northeast,New England,2015,1317444,1127394,156271,30123,3656,Alabama,South,East South Central,0
Maryland,South,South Atlantic,2015,5934005,5076791,638788,168894,49532,Alabama,South,East South Central,1526
Massachusetts,Northeast,New England,2015,6725678,5893936,634359,132642,64741,Alabama,South,East South Central,269
Michigan,Midwest,East North Central,2015,9811416,8394658,1229302,142639,44817,Alabama,South,East South Central,1387
Minnesota,Midwest,West North Central,2015,5419822,4618325,661383,108476,31638,Alabama,South,East South Central,105
